"Meses","Desviacion","Perimetro_cefalico","sexo"
0,"-3 SD","30.7","niño"
1,"-3 SD","33.8","niño"
2,"-3 SD","35.6","niño"
3,"-3 SD","37.0","niño"
4,"-3 SD","38.0","niño"
5,"-3 SD","38.9","niño"
6,"-3 SD","39.7","niño"
7,"-3 SD","40.3","niño"
8,"-3 SD","40.8","niño"
9,"-3 SD","41.2","niño"
10,"-3 SD","41.6","niño"
11,"-3 SD","41.9","niño"
12,"-3 SD","42.2","niño"
13,"-3 SD","42.5","niño"
14,"-3 SD","42.7","niño"
15,"-3 SD","42.9","niño"
16,"-3 SD","43.1","niño"
17,"-3 SD","43.2","niño"
18,"-3 SD","43.4","niño"
19,"-3 SD","43.5","niño"
20,"-3 SD","43.7","niño"
21,"-3 SD","43.8","niño"
22,"-3 SD","43.9","niño"
23,"-3 SD","44.1","niño"
24,"-3 SD","44.2","niño"
25,"-3 SD","44.3","niño"
26,"-3 SD","44.4","niño"
27,"-3 SD","44.5","niño"
28,"-3 SD","44.6","niño"
29,"-3 SD","44.7","niño"
30,"-3 SD","44.8","niño"
31,"-3 SD","44.8","niño"
32,"-3 SD","44.9","niño"
33,"-3 SD","45.0","niño"
34,"-3 SD","45.1","niño"
35,"-3 SD","45.1","niño"
36,"-3 SD","45.2","niño"
37,"-3 SD","45.3","niño"
38,"-3 SD","45.3","niño"
39,"-3 SD","45.4","niño"
40,"-3 SD","45.4","niño"
41,"-3 SD","45.5","niño"
42,"-3 SD","45.5","niño"
43,"-3 SD","45.6","niño"
44,"-3 SD","45.6","niño"
45,"-3 SD","45.7","niño"
46,"-3 SD","45.7","niño"
47,"-3 SD","45.8","niño"
48,"-3 SD","45.8","niño"
49,"-3 SD","45.9","niño"
50,"-3 SD","45.9","niño"
51,"-3 SD","45.9","niño"
52,"-3 SD","46.0","niño"
53,"-3 SD","46.0","niño"
54,"-3 SD","46.1","niño"
55,"-3 SD","46.1","niño"
56,"-3 SD","46.1","niño"
57,"-3 SD","46.2","niño"
58,"-3 SD","46.2","niño"
59,"-3 SD","46.2","niño"
60,"-3 SD","46.3","niño"
0,"-2 SD","31.9","niño"
1,"-2 SD","34.9","niño"
2,"-2 SD","36.8","niño"
3,"-2 SD","38.1","niño"
4,"-2 SD","39.2","niño"
5,"-2 SD","40.1","niño"
6,"-2 SD","40.9","niño"
7,"-2 SD","41.5","niño"
8,"-2 SD","42.0","niño"
9,"-2 SD","42.5","niño"
10,"-2 SD","42.9","niño"
11,"-2 SD","43.2","niño"
12,"-2 SD","43.5","niño"
13,"-2 SD","43.8","niño"
14,"-2 SD","44.0","niño"
15,"-2 SD","44.2","niño"
16,"-2 SD","44.4","niño"
17,"-2 SD","44.6","niño"
18,"-2 SD","44.7","niño"
19,"-2 SD","44.9","niño"
20,"-2 SD","45.0","niño"
21,"-2 SD","45.2","niño"
22,"-2 SD","45.3","niño"
23,"-2 SD","45.4","niño"
24,"-2 SD","45.5","niño"
25,"-2 SD","45.6","niño"
26,"-2 SD","45.8","niño"
27,"-2 SD","45.9","niño"
28,"-2 SD","46.0","niño"
29,"-2 SD","46.1","niño"
30,"-2 SD","46.1","niño"
31,"-2 SD","46.2","niño"
32,"-2 SD","46.3","niño"
33,"-2 SD","46.4","niño"
34,"-2 SD","46.5","niño"
35,"-2 SD","46.6","niño"
36,"-2 SD","46.6","niño"
37,"-2 SD","46.7","niño"
38,"-2 SD","46.8","niño"
39,"-2 SD","46.8","niño"
40,"-2 SD","46.9","niño"
41,"-2 SD","46.9","niño"
42,"-2 SD","47.0","niño"
43,"-2 SD","47.0","niño"
44,"-2 SD","47.1","niño"
45,"-2 SD","47.1","niño"
46,"-2 SD","47.2","niño"
47,"-2 SD","47.2","niño"
48,"-2 SD","47.3","niño"
49,"-2 SD","47.3","niño"
50,"-2 SD","47.4","niño"
51,"-2 SD","47.4","niño"
52,"-2 SD","47.5","niño"
53,"-2 SD","47.5","niño"
54,"-2 SD","47.5","niño"
55,"-2 SD","47.6","niño"
56,"-2 SD","47.6","niño"
57,"-2 SD","47.6","niño"
58,"-2 SD","47.7","niño"
59,"-2 SD","47.7","niño"
60,"-2 SD","47.7","niño"
0,"-1 SD","33.2","niño"
1,"-1 SD","36.1","niño"
2,"-1 SD","38.0","niño"
3,"-1 SD","39.3","niño"
4,"-1 SD","40.4","niño"
5,"-1 SD","41.4","niño"
6,"-1 SD","42.1","niño"
7,"-1 SD","42.7","niño"
8,"-1 SD","43.3","niño"
9,"-1 SD","43.7","niño"
10,"-1 SD","44.1","niño"
11,"-1 SD","44.5","niño"
12,"-1 SD","44.8","niño"
13,"-1 SD","45.0","niño"
14,"-1 SD","45.3","niño"
15,"-1 SD","45.5","niño"
16,"-1 SD","45.7","niño"
17,"-1 SD","45.9","niño"
18,"-1 SD","46.0","niño"
19,"-1 SD","46.2","niño"
20,"-1 SD","46.4","niño"
21,"-1 SD","46.5","niño"
22,"-1 SD","46.6","niño"
23,"-1 SD","46.8","niño"
24,"-1 SD","46.9","niño"
25,"-1 SD","47.0","niño"
26,"-1 SD","47.1","niño"
