Mes,Desviacion,Estatura,sexo
0,-3 SD,44.2,niño
1,-3 SD,48.9,niño
2,-3 SD,52.4,niño
3,-3 SD,55.3,niño
4,-3 SD,57.6,niño
5,-3 SD,59.6,niño
6,-3 SD,61.2,niño
7,-3 SD,62.7,niño
8,-3 SD,64,niño
9,-3 SD,65.2,niño
10,-3 SD,66.4,niño
11,-3 SD,67.6,niño
12,-3 SD,68.6,niño
13,-3 SD,69.6,niño
14,-3 SD,70.6,niño
15,-3 SD,71.6,niño
16,-3 SD,72.5,niño
17,-3 SD,73.3,niño
18,-3 SD,74.2,niño
19,-3 SD,75,niño
20,-3 SD,75.8,niño
21,-3 SD,76.5,niño
22,-3 SD,77.2,niño
23,-3 SD,78,niño
24,-3 SD,78.7,niño
25,-3 SD,78.6,niño
26,-3 SD,79.3,niño
27,-3 SD,79.9,niño
28,-3 SD,80.5,niño
29,-3 SD,81.1,niño
30,-3 SD,81.7,niño
31,-3 SD,82.3,niño
32,-3 SD,82.8,niño
33,-3 SD,83.4,niño
34,-3 SD,83.9,niño
35,-3 SD,84.4,niño
36,-3 SD,85,niño
37,-3 SD,85.5,niño
38,-3 SD,86,niño
39,-3 SD,86.5,niño
40,-3 SD,87,niño
41,-3 SD,87.5,niño
42,-3 SD,88,niño
43,-3 SD,88.4,niño
44,-3 SD,88.9,niño
45,-3 SD,89.4,niño
46,-3 SD,89.8,niño
47,-3 SD,90.3,niño
48,-3 SD,90.7,niño
49,-3 SD,91.2,niño
50,-3 SD,91.6,niño
51,-3 SD,92.1,niño
52,-3 SD,92.5,niño
53,-3 SD,93,niño
54,-3 SD,93.4,niño
55,-3 SD,93.9,niño
56,-3 SD,94.3,niño
57,-3 SD,94.7,niño
58,-3 SD,95.2,niño
59,-3 SD,95.6,niño
60,-3 SD,96.1,niño
0,-2 SD,46.1,niño
1,-2 SD,50.8,niño
2,-2 SD,54.4,niño
3,-2 SD,57.3,niño
4,-2 SD,59.7,niño
5,-2 SD,61.7,niño
6,-2 SD,63.3,niño
7,-2 SD,64.8,niño
8,-2 SD,66.2,niño
9,-2 SD,67.5,niño
10,-2 SD,68.7,niño
11,-2 SD,69.9,niño
12,-2 SD,71,niño
13,-2 SD,72.1,niño
14,-2 SD,73.1,niño
15,-2 SD,74.1,niño
16,-2 SD,75,niño
17,-2 SD,76,niño
18,-2 SD,76.9,niño
19,-2 SD,77.7,niño
20,-2 SD,78.6,niño
21,-2 SD,79.4,niño
22,-2 SD,80.2,niño
23,-2 SD,81,niño
24,-2 SD,81.7,niño
25,-2 SD,81.7,niño
26,-2 SD,82.5,niño
27,-2 SD,83.1,niño
28,-2 SD,83.8,niño
29,-2 SD,84.5,niño
30,-2 SD,85.1,niño
31,-2 SD,85.7,niño
32,-2 SD,86.4,niño
33,-2 SD,86.9,niño
34,-2 SD,87.5,niño
35,-2 SD,88.1,niño
36,-2 SD,88.7,niño
37,-2 SD,89.2,niño
38,-2 SD,89.8,niño
39,-2 SD,90.3,niño
40,-2 SD,90.9,niño
41,-2 SD,91.4,niño
42,-2 SD,91.9,niño
43,-2 SD,92.4,niño
44,-2 SD,93,niño
45,-2 SD,93.5,niño
46,-2 SD,94,niño
47,-2 SD,94.4,niño
48,-2 SD,94.9,niño
49,-2 SD,95.4,niño
50,-2 SD,95.9,niño
51,-2 SD,96.4,niño
52,-2 SD,96.9,niño
53,-2 SD,97.4,niño
54,-2 SD,97.8,niño
55,-2 SD,98.3,niño
56,-2 SD,98.8,niño
57,-2 SD,99.3,niño
58,-2 SD,99.7,niño
59,-2 SD,100.2,niño
60,-2 SD,100.7,niño
0,-1 SD,48,niño
1,-1 SD,52.8,niño
2,-1 SD,56.4,niño
3,-1 SD,59.4,niño
4,-1 SD,61.8,niño
5,-1 SD,63.8,niño
6,-1 SD,65.5,niño
7,-1 SD,67,niño
8,-1 SD,68.4,niño
9,-1 SD,69.7,niño
10,-1 SD,71,niño
11,-1 SD,72.2,niño
12,-1 SD,73.4,niño
13,-1 SD,74.5,niño
14,-1 SD,75.6,niño
15,-1 SD,76.6,niño
16,-1 SD,77.6,niño
17,-1 SD,78.6,niño
18,-1 SD,79.6,niño
19,-1 SD,80.5,niño
20,-1 SD,81.4,niño
21,-1 SD,82.3,niño
22,-1 SD,83.1,niño
23,-1 SD,83.9,niño
24,-1 SD,84.8,niño
25,-1 SD,84.9,niño
26,-1 SD,85.6,niño
27,-1 SD,86.4,niño
28,-1 SD,87.1,niño
29,-1 SD,87.8,niño
30,-1 SD,88.5,niño
31,-1 SD,89.2,niño
32,-1 SD,89.9,niño
33,-1 SD,90.5,niño
34,-1 SD,91.1,niño
35,-1 SD,91.8,niño
36,-1 SD,92.4,niño
37,-1 SD,93,niño
38,-1 SD,93.6,niño
39,-1 SD,94.2,niño
40,-1 SD,94.7,niño
41,-1 SD,95.3,niño
42,-1 SD,95.9,niño
43,-1 SD,96.4,niño
44,-1 SD,97,niño
45,-1 SD,97.5,niño
46,-1 SD,98.1,niño
47,-1 SD,98.6,niño
48,-1 SD,99.1,niño
49,-1 SD,99.7,niño
50,-1 SD,100.2,niño
51,-1 SD,100.7,niño
52,-1 SD,101.2,niño
53,-1 SD,101.7,niño
54,-1 SD,102.3,niño
55,-1 SD,102.8,niño
56,-1 SD,103.3,niño
57,-1 SD,103.8,niño
58,-1 SD,104.3,niño
59,-1 SD,104.8,niño
60,-1 SD,105.3,niño
0,Mediana,49.9,niño
1,Mediana,54.7,niño
2,Mediana,58.4,niño
3,Mediana,61.4,niño
4,Mediana,63.9,niño
5,Mediana,65.9,niño
6,Mediana,67.6,niño
7,Mediana,69.2,niño
8,Mediana,70.6,niño
9,Mediana,72,niño
10,Mediana,73.3,niño
11,Mediana,74.5,niño
12,Mediana,75.7,niño
13,Mediana,76.9,niño
14,Mediana,78,niño
15,Mediana,79.1,niño
16,Mediana,80.2,niño
17,Mediana,81.2,niño
18,Mediana,82.3,niño
19,Mediana,83.2,niño
20,Mediana,84.2,niño
21,Mediana,85.1,niño
22,Mediana,86,niño
23,Mediana,86.9,niño
24,Mediana,87.8,niño
25,Mediana,88,niño
26,Mediana,88.8,niño
27,Mediana,89.6,niño
28,Mediana,90.4,niño
29,Mediana,91.2,niño
30,Mediana,91.9,niño
31,Mediana,92.7,niño
32,Mediana,93.4,niño
33,Mediana,94.1,niño
34,Mediana,94.8,niño
35,Mediana,95.4,niño
36,Mediana,96.1,niño
37,Mediana,96.7,niño
38,Mediana,97.4,niño
39,Mediana,98,niño
40,Mediana,98.6,niño
41,Mediana,99.2,niño
42,Mediana,99.9,niño
43,Mediana,100.4,niño
44,Mediana,101,niño
45,Mediana,101.6,niño
46,Mediana,102.2,niño
47,Mediana,102.8,niño
48,Mediana,103.3,niño
49,Mediana,103.9,niño
50,Mediana,104.4,niño
51,Mediana,105,niño
52,Mediana,105.6,niño
53,Mediana,106.1,niño
54,Mediana,106.7,niño
55,Mediana,107.2,niño
56,Mediana,107.8,niño
57,Mediana,108.3,niño
58,Mediana,108.9,niño
59,Mediana,109.4,niño
60,Mediana,110,niño
0,+1 SD,51.8,niño
1,+1 SD,56.7,niño
2,+1 SD,60.4,niño
3,+1 SD,63.5,niño
4,+1 SD,66,niño
5,+1 SD,68,niño
6,+1 SD,69.8,niño
7,+1 SD,71.3,niño
8,+1 SD,72.8,niño
9,+1 SD,74.2,niño
10,+1 SD,75.6,niño
11,+1 SD,76.9,niño
12,+1 SD,78.1,niño
13,+1 SD,79.3,niño
14,+1 SD,80.5,niño
15,+1 SD,81.7,niño
16,+1 SD,82.8,niño
17,+1 SD,83.9,niño
18,+1 SD,85,niño
19,+1 SD,86,niño
20,+1 SD,87,niño
21,+1 SD,88,niño
22,+1 SD,89,niño
23,+1 SD,89.9,niño
24,+1 SD,90.9,niño
25,+1 SD,91.1,niño
26,+1 SD,92,niño
27,+1 SD,92.9,niño
28,+1 SD,93.7,niño
29,+1 SD,94.5,niño
30,+1 SD,95.3,niño
31,+1 SD,96.1,niño
32,+1 SD,96.9,niño
33,+1 SD,97.6,niño
34,+1 SD,98.4,niño
35,+1 SD,99.1,niño
36,+1 SD,99.8,niño
37,+1 SD,100.5,niño
38,+1 SD,101.2,niño
39,+1 SD,101.8,niño
40,+1 SD,102.5,niño
41,+1 SD,103.2,niño
42,+1 SD,103.8,niño
43,+1 SD,104.5,niño
44,+1 SD,105.1,niño
45,+1 SD,105.7,niño
46,+1 SD,106.3,niño
47,+1 SD,106.9,niño
48,+1 SD,107.5,niño
49,+1 SD,108.1,niño
50,+1 SD,108.7,niño
51,+1 SD,109.3,niño
52,+1 SD,109.9,niño
53,+1 SD,110.5,niño
54,+1 SD,111.1,niño
55,+1 SD,111.7,niño
56,+1 SD,112.3,niño
57,+1 SD,112.8,niño
58,+1 SD,113.4,niño
59,+1 SD,114,niño
60,+1 SD,114.6,niño
0,+2 SD,53.7,niño
1,+2 SD,58.6,niño
2,+2 SD,62.4,niño
3,+2 SD,65.5,niño
4,+2 SD,68,niño
5,+2 SD,70.1,niño
6,+2 SD,71.9,niño
7,+2 SD,73.5,niño
8,+2 SD,75,niño
