"Meses","Desviacion","Estatura","sexo"
61,"-3 SD",102.7,"niño"
62,"-3 SD",103.2,"niño"
63,"-3 SD",103.7,"niño"
64,"-3 SD",104.2,"niño"
65,"-3 SD",104.6,"niño"
66,"-3 SD",105.1,"niño"
67,"-3 SD",105.6,"niño"
68,"-3 SD",106,"niño"
69,"-3 SD",106.5,"niño"
70,"-3 SD",106.9,"niño"
71,"-3 SD",107.4,"niño"
72,"-3 SD",107.8,"niño"
73,"-3 SD",108.3,"niño"
74,"-3 SD",108.7,"niño"
75,"-3 SD",109.2,"niño"
76,"-3 SD",109.6,"niño"
77,"-3 SD",110,"niño"
78,"-3 SD",110.5,"niño"
79,"-3 SD",110.9,"niño"
80,"-3 SD",111.3,"niño"
81,"-3 SD",111.8,"niño"
82,"-3 SD",112.2,"niño"
83,"-3 SD",112.6,"niño"
84,"-3 SD",113,"niño"
85,"-3 SD",113.5,"niño"
86,"-3 SD",113.9,"niño"
87,"-3 SD",114.3,"niño"
88,"-3 SD",114.7,"niño"
89,"-3 SD",115.1,"niño"
90,"-3 SD",115.5,"niño"
91,"-3 SD",116,"niño"
92,"-3 SD",116.4,"niño"
93,"-3 SD",116.8,"niño"
94,"-3 SD",117.2,"niño"
95,"-3 SD",117.6,"niño"
96,"-3 SD",118,"niño"
97,"-3 SD",118.4,"niño"
98,"-3 SD",118.8,"niño"
99,"-3 SD",119.2,"niño"
100,"-3 SD",119.6,"niño"
101,"-3 SD",120,"niño"
102,"-3 SD",120.3,"niño"
103,"-3 SD",120.7,"niño"
104,"-3 SD",121.1,"niño"
105,"-3 SD",121.5,"niño"
106,"-3 SD",121.9,"niño"
107,"-3 SD",122.3,"niño"
108,"-3 SD",122.7,"niño"
109,"-3 SD",123.1,"niño"
110,"-3 SD",123.5,"niño"
111,"-3 SD",123.8,"niño"
112,"-3 SD",124.2,"niño"
113,"-3 SD",124.6,"niño"
114,"-3 SD",125,"niño"
115,"-3 SD",125.4,"niño"
116,"-3 SD",125.8,"niño"
117,"-3 SD",126.1,"niño"
118,"-3 SD",126.5,"niño"
119,"-3 SD",126.9,"niño"
120,"-3 SD",127.3,"niño"
121,"-3 SD",127.7,"niño"
122,"-3 SD",128.1,"niño"
123,"-3 SD",128.4,"niño"
124,"-3 SD",128.8,"niño"
125,"-3 SD",129.2,"niño"
126,"-3 SD",129.6,"niño"
127,"-3 SD",130,"niño"
128,"-3 SD",130.4,"niño"
129,"-3 SD",130.8,"niño"
130,"-3 SD",131.2,"niño"
131,"-3 SD",131.6,"niño"
132,"-3 SD",132,"niño"
133,"-3 SD",132.5,"niño"
134,"-3 SD",132.9,"niño"
135,"-3 SD",133.3,"niño"
136,"-3 SD",133.7,"niño"
137,"-3 SD",134.2,"niño"
138,"-3 SD",134.6,"niño"
139,"-3 SD",135.1,"niño"
140,"-3 SD",135.5,"niño"
141,"-3 SD",136,"niño"
142,"-3 SD",136.5,"niño"
143,"-3 SD",136.9,"niño"
144,"-3 SD",137.4,"niño"
145,"-3 SD",137.9,"niño"
146,"-3 SD",138.4,"niño"
147,"-3 SD",138.9,"niño"
148,"-3 SD",139.4,"niño"
149,"-3 SD",140,"niño"
150,"-3 SD",140.5,"niño"
151,"-3 SD",141,"niño"
152,"-3 SD",141.6,"niño"
153,"-3 SD",142.1,"niño"
154,"-3 SD",142.7,"niño"
155,"-3 SD",143.3,"niño"
156,"-3 SD",143.8,"niño"
157,"-3 SD",144.4,"niño"
158,"-3 SD",145,"niño"
159,"-3 SD",145.5,"niño"
160,"-3 SD",146.1,"niño"
161,"-3 SD",146.7,"niño"
162,"-3 SD",147.2,"niño"
163,"-3 SD",147.8,"niño"
164,"-3 SD",148.4,"niño"
165,"-3 SD",148.9,"niño"
166,"-3 SD",149.5,"niño"
167,"-3 SD",150,"niño"
168,"-3 SD",150.5,"niño"
169,"-3 SD",151.1,"niño"
170,"-3 SD",151.6,"niño"
171,"-3 SD",152.1,"niño"
172,"-3 SD",152.6,"niño"
173,"-3 SD",153.1,"niño"
174,"-3 SD",153.5,"niño"
175,"-3 SD",154,"niño"
176,"-3 SD",154.4,"niño"
177,"-3 SD",154.9,"niño"
178,"-3 SD",155.3,"niño"
179,"-3 SD",155.7,"niño"
180,"-3 SD",156.1,"niño"
181,"-3 SD",156.5,"niño"
182,"-3 SD",156.9,"niño"
183,"-3 SD",157.3,"niño"
184,"-3 SD",157.6,"niño"
185,"-3 SD",158,"niño"
186,"-3 SD",158.3,"niño"
187,"-3 SD",158.6,"niño"
188,"-3 SD",159,"niño"
189,"-3 SD",159.3,"niño"
190,"-3 SD",159.6,"niño"
191,"-3 SD",159.8,"niño"
192,"-3 SD",160.1,"niño"
193,"-3 SD",160.4,"niño"
194,"-3 SD",160.6,"niño"
195,"-3 SD",160.9,"niño"
196,"-3 SD",161.1,"niño"
197,"-3 SD",161.3,"niño"
198,"-3 SD",161.5,"niño"
199,"-3 SD",161.7,"niño"
200,"-3 SD",161.9,"niño"
201,"-3 SD",162.1,"niño"
202,"-3 SD",162.3,"niño"
203,"-3 SD",162.4,"niño"
204,"-3 SD",162.6,"niño"
205,"-3 SD",162.7,"niño"
206,"-3 SD",162.9,"niño"
207,"-3 SD",163,"niño"
208,"-3 SD",163.1,"niño"
209,"-3 SD",163.2,"niño"
210,"-3 SD",163.3,"niño"
211,"-3 SD",163.4,"niño"
212,"-3 SD",163.5,"niño"
213,"-3 SD",163.6,"niño"
214,"-3 SD",163.7,"niño"
215,"-3 SD",163.8,"niño"
216,"-3 SD",163.9,"niño"
217,"-3 SD",163.9,"niño"
218,"-3 SD",164,"niño"
219,"-3 SD",164.1,"niño"
220,"-3 SD",164.1,"niño"
221,"-3 SD",164.2,"niño"
222,"-3 SD",164.2,"niño"
223,"-3 SD",164.3,"niño"
224,"-3 SD",164.3,"niño"
225,"-3 SD",164.4,"niño"
226,"-3 SD",164.5,"niño"
227,"-3 SD",164.5,"niño"
